id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source
368,dish,teri balado masakan,365.0,23.7,22.3,17.5,tkpi
369,komponen,teripang dendeng mentah,462.0,39.1,32.4,3.5,tkpi
370,dish,tipatipa,355.0,6.2,1.2,79.8,tkpi
371,komponen,ubi jalar manis segar,83.0,1.5,0.2,18.8,tkpi
372,komponen,ubi jalar merah segar,151.0,1.6,0.3,35.4,tkpi
373,dish,ubi jalar tinta kemayung kukus,165.0,0.9,0.2,39.8,tkpi
374,dish,ubi jalar kuning kukus,100.0,0.7,0.3,23.8,tkpi
375,dish,wajit camilan,303.0,6.3,2.7,63.3,tkpi
376,komponen,wani segar,74.0,0.8,0.3,17.1,tkpi
377,dish,widaran,424.0,1.3,10.7,80.7,tkpi
378,dish,wingko babat,355.0,3.2,15.1,51.4,tkpi
379,dish,yangko,254.0,3.0,1.1,58.1,tkpi
380,dish,asinan bogor sayuran,98.0,3.9,2.6,14.8,tkpi
381,dish,ayam ampela goreng,270.0,32.3,11.2,9.9,tkpi
382,komponen,ayam hati segar,261.0,27.4,16.1,1.6,tkpi
383,dish,beef burger,258.0,10.6,9.5,32.5,tkpi
384,dish,beef teriyaki masakan,151.0,8.6,3.1,22.3,tkpi
385,dish,beef yakiniku masakan,132.0,9.8,1.1,20.7,tkpi
386,dish,bihun goreng instan,381.0,6.1,3.9,80.3,tkpi
387,dish,bulgogi masakan,72.0,11.4,4.9,1.4,tkpi
388,dish,cap cai sayur,97.0,5.8,6.3,4.2,tkpi
389,dish,chicken teriyaki masakan,168.0,13.0,9.6,7.5,tkpi
390,dish,chikiniku masakan,143.0,9.8,1.4,22.8,tkpi
391,dish,djibokum masakan,248.0,10.0,2.3,40.9,tkpi
392,dish,empal daging goreng masakan,248.0,36.2,6.9,10.1,tkpi
393,dish,fillet ofish,270.0,12.3,15.9,19.3,tkpi
394,komponen,gulai ikan masakan,106.0,16.5,3.3,2.5,tkpi
395,komponen,jambal goreng,286.0,48.5,9.2,2.3,tkpi
396,dish,kalio ayam masakan,203.0,16.0,13.5,4.4,tkpi
397,dish,kalio jeroan masakan,163.0,16.5,9.0,4.1,tkpi
398,dish,kalio kikil tunjang masakan,122.0,13.8,5.7,3.9,tkpi
399,dish,kalio otak masakan,157.0,8.1,8.8,11.4,tkpi
400,dish,kalio telur masakan,193.0,10.6,12.4,9.7,tkpi
401,dish,kue lumpur,291.0,3.6,11.1,44.1,tkpi
402,dish,kue sus,221.0,7.5,10.2,24.8,tkpi
403,dish,mie ayam,102.0,6.2,3.9,10.5,tkpi
404,dish,mie bakso,114.0,5.3,3.0,16.4,tkpi
405,dish,mie pangsit basah,105.0,5.9,4.9,9.4,tkpi
406,dish,moon tahu,128.0,8.0,10.0,1.3,tkpi
407,dish,nasi rames,155.0,10.3,4.2,19.1,tkpi
408,dish,pastel,307.0,4.5,13.3,42.4,tkpi
409,dish,sapi paru goreng,268.0,23.9,12.7,14.5,tkpi
410,dish,semur jengkol,212.0,6.0,10.0,29.1,tkpi
411,dish,shabushabu,88.0,3.2,8.0,0.8,tkpi
412,dish,sop buntut masakan,71.0,7.5,3.6,2.2,tkpi
413,dish,sop daging sapi masakan,49.0,5.8,0.5,5.3,tkpi
414,dish,sop kaki sapi masakan,68.0,9.0,1.9,3.7,tkpi
415,dish,sop kambing masakan,34.0,5.5,0.8,1.1,tkpi
416,dish,soto jeroan masakan,92.0,11.8,4.3,1.4,tkpi
417,dish,spaghetti,139.0,7.4,2.1,22.6,tkpi
418,dish,sukiyaki masakan,75.0,5.6,0.4,12.2,tkpi
