id,jenis_makanan,nama_makanan,kalori,protein,lemak,karbohidrat,source,protein_per_calorie,fat_per_calorie,carb_per_calorie,protein_fat_ratio,macro_balance_score
32,komponen,daun kacang ma segar,36.0,2.9,0.6,6.8,tkpi,0.0805555533179013,0.016666666203703717,0.18888888364197545,4.833325277791204,0.751545660612696
33,dish,daun kacang panjang kukus,40.0,3.7,0.3,8.0,tkpi,0.09249999768750007,0.007499999812500005,0.19999999500000012,12.333292222359262,0.7374448911462869
34,komponen,daun kacang panjang segar,30.0,3.1,0.3,5.8,tkpi,0.103333329888889,0.009999999666666677,0.1933333268888891,10.333298889003705,0.7559250754623291
35,dish,daun katuk rebus,53.0,5.3,0.9,9.1,tkpi,0.09999999811320759,0.016981131755072987,0.1716981099679602,5.888882345686282,0.7810051089650708
36,komponen,daun katuk segar,59.0,6.4,1.0,9.9,tkpi,0.10847457443263435,0.016949152255099114,0.16779660732548124,6.399993600006401,0.7883870194574426
37,dish,daun kelor rebus,61.0,6.1,0.9,10.0,tkpi,0.09999999836065576,0.014754098118785277,0.16393442354205864,6.777770246921947,0.7807250422126389
38,komponen,daun kesum segar,48.0,4.5,0.8,9.1,tkpi,0.09374999804687505,0.016666666319444454,0.18958332938368064,5.6249929687587885,0.7642295485831253
39,komponen,daun kol sawi segar,22.0,2.1,0.5,3.6,tkpi,0.09545454111570267,0.022727271694214922,0.16363635619834743,4.1999916000168,0.7958404564941126
40,komponen,daun kumak segar,14.0,1.3,0.3,2.3,tkpi,0.09285713622449028,0.02142856989795929,0.16428570255102123,4.333318888937038,0.7906419023262241
41,komponen,daun lamtoro segar,87.0,8.3,1.8,14.4,tkpi,0.09540229775399658,0.02068965493460167,0.16551723947681335,4.61110854938414,0.7900084732718782
42,komponen,daun matel ambon segar,71.0,6.8,1.6,11.5,tkpi,0.09577464653838526,0.022535210950208297,0.16197182870462215,4.24999734375166,0.7968152800387815
43,dish,daun mengkudu kukus,63.0,3.8,1.5,11.5,tkpi,0.06031745936004033,0.023809523431594867,0.1825396796422273,2.5333316444455702,0.7454588554762119
44,komponen,daun mengkudu segar,65.0,4.0,1.7,11.4,tkpi,0.06153846059171599,0.026153845751479297,0.17538461268639058,2.3529397923883577,0.7579860989214358
